id,name,price,vat_rate,category,organization_id
162,Bebe cereálne       ,0.79,20.0,baby/fake-food,3
163,Parad.pretlak       ,0.99,20.0,basic/canned-fruits-vegetable,3
164,Uhorky korenené     ,1.79,20.0,fruits-veg/vegetable,3
165,Hniezda             ,0.99,20.0,home/accessories,3
166,Jazmín. ryža 1kg    ,2.19,20.0,basic/sugar-flour-rice,3
167,Torti 2-min.        ,0.89,20.0,basic/pasta,3
168,Špagety 2min.       ,0.89,20.0,home/maintenence,3
169,Mliečne briošky     ,2.99,20.0,pastry/sweet,3
170,Pizza krekry        ,1.29,20.0,frozen/instant,3
171,Tuniak kúsky vl.šť  ,1.79,20.0,basic/canned-fish,3
172,Paradajky celé      ,0.99,20.0,fruits-veg/vegetable,3
173,"Cif Lemon, 500ml    ",1.95,20.0,home/cleaning,3
174,Kozmetické vreck.   ,1.15,20.0,home/maintenence,3
175,Suš.paradajky       ,2.19,20.0,fruits-veg/vegetable,3
176,Biele faz. v nál.   ,0.79,20.0,frozen/fruit-vegetable,3
177,Kidney fazule 420g  ,0.59,20.0,basic/wheat-legumes,3
178,Univ.flauš.utierky  ,0.95,20.0,home/maintenence,3
179,cestoviny Abeceda   ,0.69,20.0,basic/pasta,3
180,Kečup jemný         ,1.49,20.0,basic/sauces,3
181,Sanytol univerzál   ,3.33,20.0,home/maintenence,3
182,Kuracie rezne       ,5.989010989010988,10.0,meat/meat,3
183,Kur. štvrte zadné   ,2.1944177093359,10.0,meat/meat,3
184,Kur. štvrte zadné   ,2.1863468634686347,10.0,meat/meat,3
185,Mini mrkva          ,0.99,20.0,fruits-veg/vegetable,3
186,"Kozm.vreck.,4vrst.  ",1.39,20.0,drugstore/beauty,3
187,Múka polohrubá 1kg  ,0.59,20.0,basic/sugar-flour-rice,3
188,Fazuľ. struky celé  ,1.59,20.0,frozen/fruit-vegetable,3
189,Fazuľka rezaná      ,0.99,20.0,basic/canned-fruits-vegetable,3
190,Šúľance makové      ,1.99,20.0,frozen/instant,3
191,Hrášok extra jemný  ,1.19,20.0,basic/jams-marmelade-honey,3
192,MSC Surimi tyčinky  ,1.49,20.0,snacks/salty,3
193,Kukurica sladká     ,0.99,20.0,basic/canned-fruits-vegetable,3
194,Karfiol             ,1.39,10.0,fruits-veg/vegetable,3
195,Zrnková káva Crema  ,12.99,20.0,basic/tea-coffee-soups,3
196,Mrkva sáčok 1kg     ,1.29,20.0,fruits-veg/vegetable,3
197,Kel                 ,1.7899761336515514,10.0,fruits-veg/vegetable,3
198,Ananás              ,3.19,20.0,fruits-veg/fruit,3
199,Sušené paradajky    ,1.59,20.0,basic/canned-fruits-vegetable,3
200,Banány              ,1.6885964912280702,20.0,fruits-veg/fruit,3
201,Cuketa              ,0.795053003533569,10.0,fruits-veg/vegetable,3
202,Cibuľa 1kg          ,1.69,10.0,fruits-veg/vegetable,3
203,Tekvica Hokkaido    ,0.7912687585266029,10.0,fruits-veg/vegetable,3
204,Morčacia šunka      ,1.29,20.0,meat/meat-products,3
205,Brav. šunka tenká   ,2.69,20.0,meat/meat-products,3
206,Červená cibuľa      ,1.19,10.0,fruits-veg/vegetable,3
207,Cherry par.datľ.    ,3.99,10.0,fruits-veg/vegetable,3
208,Bravč. páročky750g  ,3.99,20.0,meat/meat,3
209,Mlieko polotučné    ,0.95,10.0,dairy/milk,3
210,Budapešť. nátierka  ,1.29,20.0,basic/spread,3
211,Smotana 30% tuku    ,0.95,20.0,dairy/cream,3
212,Smíšek Vanilka      ,0.59,20.0,pastry/sweet,3
213,Polomäkký zrej.syr  ,2.19,20.0,dairy/cheese,3
214,Hummus olivy        ,1.29,20.0,basic/canned-fruits-vegetable,3
215,Hummus kari         ,1.29,20.0,basic/spread,3
216,Niva OGT            ,0.99,20.0,dairy/cheese,3
217,Zakys.smotana 16%   ,0.57,10.0,dairy/cream,3
218,Toast.celoz.ch.     ,0.89,20.0,pastry/basic,3
219,Lahôdka z br.karé   ,0.89,20.0,dairy/cheese,3
220,Ľadový šalát        ,1.39,10.0,fruits-veg/vegetable,3
221,Plienky XL 6        ,6.29,20.0,baby/supplies-hygiene,3
222,EVO Diesel,1.7181344148319813,20.0,auto/fuel,4
223,Uhorky šalátové     ,0.78,10.0,fruits-veg/vegetable,3
224,Zľava Lidl Plus     ,-0.78,10.0,home/plants-garden,3
225,Trubičky kakao      ,0.17,20.0,pastry/sweet,3
226,Zľava Lidl Plus     ,-0.24,20.0,home/plants-garden,3
227,Čerstvé mlieko 1l   ,0.99,10.0,dairy/milk,3
228,Ringloty tmavé      ,2.4932249322493227,20.0,home/maintenence,3
229,Červ.šošovica       ,1.49,20.0,basic/wheat-legumes,3
230,Bešamelová omáčka   ,1.79,20.0,basic/sauces,3
231,Farfalle 3far.500g  ,1.99,20.0,home/office,3
232,Smotan. nát. prír.  ,1.15,20.0,basic/spread,3
233,Vajcia voľný výbeh  ,3.19,20.0,dairy/eggs,3
234,Šunka najvyššej k.  ,1.19,20.0,meat/meat-products,3
235,Delik.dusená šunka  ,2.19,20.0,meat/meat-products,3
236,Špagety 3far. 500g  ,1.99,20.0,home/maintenence,3
237,Čerst.droždie 42g   ,0.25,20.0,basic/baking,3
238,Jablká Evelina      ,2.493506493506493,10.0,fruits-veg/fruit,3
239,Hubky na riad       ,0.49,20.0,home/cleaning,3
240,Paradajky strapco.  ,1.9928400954653935,10.0,fruits-veg/vegetable,3
241,"Vreckovky,10x10     ",1.09,20.0,home/maintenence,3
242,Tal.sam.Cacciatore  ,2.49,20.0,basic/instant,3
243,Detské vat.tyčinky  ,0.75,20.0,baby/supplies-hygiene,3
244,Mozzarella 125g     ,1.99,20.0,dairy/cheese,3
245,Zemiaky nesk.2kgB   ,2.49,10.0,fruits-veg/vegetable,3
246,Cherry par.st.300g  ,2.29,10.0,fruits-veg/vegetable,3
247,Vysočina Pure       ,1.19,20.0,meat/smoked,3
248,Paradajky slivkové  ,2.49,10.0,fruits-veg/vegetable,3
249,Ementál blok        ,4.99,20.0,dairy/cheese,3
250,Banány              ,1.6939443535188214,20.0,fruits-veg/fruit,3
251,Bio citróny 500g    ,2.49,20.0,fruits-veg/fruit,3
252,Kozmet. tampóny     ,0.99,20.0,drugstore/beauty,3
253,Kaiserka            ,0.15,20.0,pastry/basic,3
254,Viaczrn.bezglu.ch.  ,2.09,20.0,pastry/basic,3
255,Bagetka svetlá      ,0.14,20.0,pastry/salty,3
256,Taštič. višňa-pud.  ,0.37,20.0,pastry/sweet,3
257,Avokádo 700g        ,2.99,20.0,fruits-veg/fruit,3
258,ZLT Mrkva 750g      ,0.49,20.0,fruits-veg/vegetable,2
259,Zemiaky Šarišské 2kg,2.69,10.0,fruits-veg/vegetable,2
260,Pomelo              ,2.49,20.0,fruits-veg/fruit,2
261,Banány              ,1.290018832391714,20.0,fruits-veg/fruit,2
262,Pomaranče           ,1.38801261829653,20.0,fruits-veg/fruit,2
263,KBio.Cibuľa žltá500g,0.68,10.0,fruits-veg/vegetable,2
264,Petržlen praný      ,2.965116279069768,20.0,fruits-veg/vegetable,2
265,7Days BR pizza 80g  ,0.79,20.0,pastry/salty,2
266,Kaufland Card       ,-0.2,20.0,pastry/sweet,2
267,Kaizerka 60 g       ,0.15,20.0,pastry/basic,2
268,Lion cerál.650g     ,4.59,20.0,drinks/alcohol,2
269,Kaufland Card       ,-0.8,20.0,pastry/sweet,2
270,Chocapic 650 g      ,4.59,20.0,basic/tea-coffee-soups,2
271,Cini-minis 650g     ,4.59,20.0,health/vitamins-ointments,2
272,Kaufland Card       ,-0.4,20.0,pastry/sweet,2
273,K.Trstin.cukor 500g ,1.29,20.0,basic/sugar-flour-rice,2
274,Kypr.prášok 15g     ,0.39,20.0,basic/baking,2
275,Sézam lúpaný 150g   ,0.99,20.0,home/plants-garden,2
276,Vanilkový cukor 8g  ,0.3299999999999999,20.0,basic/sugar-flour-rice,2
277,"Barilla Coqui.,500g ",1.99,20.0,snacks/sweet,2
278,Milka čokoláda 270g ,3.49,20.0,snacks/sweet,2
279,Kaufland Card       ,-0.7,20.0,pastry/sweet,2
280,Erce niťovky lis200g,0.65,20.0,basic/pasta,2
281,"K.Ocot,1 L          ",0.5499999999999999,20.0,basic/oil-acid-grease,2
282,"Extra Virgin 0,5L   ",7.99,20.0,snacks/sweet,2
283,RM tuniak 3x80g     ,5.69,20.0,basic/canned-fish,2
284,ZvolSmJoJaho320g    ,0.79,10.0,dairy/joghurts,2
285,ZvolSmJoČok320g     ,0.79,10.0,dairy/joghurts,2
286,Zvol.jog.čuč320g    ,0.79,10.0,dairy/joghurts,2
287,Fantasia chok 100g  ,0.59,10.0,dairy/joghurts,2
288,"ZLT Mlieko 3,6% 1l  ",1.19,10.0,dairy/milk,2
289,Vajcia voľ.výbeh10ks,3.29,20.0,dairy/eggs,2
290,Pribi kapsík van 70g,0.89,20.0,dairy/joghurts,2
291,Zvol.jog.gr 320g    ,1.65,10.0,dairy/joghurts,2
292,Tatr. maslo 250g    ,2.89,10.0,dairy/butter,2
293,Bev.od.tamp.AV.120ks,1.19,20.0,drugstore/beauty,2
294,K. papier napeč30ks ,1.25,20.0,basic/baking,2
295,K. potrav.fólia 30m ,0.69,20.0,home/maintenence,2
296,"Bernard bezlep. 0,5l",1.39,20.0,drinks/beer,2
297,Fľaša #             ,0.27,0.0,drinks/beer,2
298,KnedlíčkyJahod500g  ,2.19,20.0,pastry/sweet,2
299,Miniti malin.500g   ,2.39,20.0,home/office,2
300,Kaufland Card       ,-0.1,20.0,pastry/sweet,2
301,Minit marh.500g     ,2.39,20.0,fruits-veg/vegetable,2
302,Minitky čoko500g    ,2.39,20.0,snacks/sweet,2
303,"Pentel Sign Pen Artist, fixky so štetcom   12ks",34.9,20.0,basic/sauces,5
304,"Výkres akvarelový na maľovanie, 270x390mm, 180g, 20l.",11.9,20.0,drinks/beer,5
305,Fernet Citrus 27% 1l,9.89,20.0,drinks/alcohol,2
306,Rožok 50 g          ,0.1,10.0,pastry/basic,2
307,Košický med 70g     ,0.69,20.0,pastry/sweet,2
308,Silan avi MM 1450ml ,2.49,20.0,home/laundry,2
309,Kaufland Card       ,-0.2,20.0,pastry/sweet,2
310,Discreet slip.v.60ks,0.6,20.0,health/lady,2
311,Vrecia 35l 30ks     ,1.49,20.0,home/maintenence,2
312,"Lipton Earl Gr.37,5g",0.79,20.0,drinks/alcohol,2
313,Bev.kozm.vrec.150ks ,0.66,20.0,drugstore/beauty,2
314,Sunar kašička 120g  ,1.09,20.0,baby/food,2
315,Čerst.mlieko 1L     ,0.99,10.0,dairy/milk,2
316,Krás.žl.vajcia M10ks,1.15,20.0,dairy/eggs,2
317,Karička.salám.100g  ,1.79,20.0,meat/smoked,2
318,K.Tav.syr gouda 200g,1.19,20.0,dairy/cheese,2
319,ZLT Smot.na šľ.180ml,0.66,20.0,dairy/cream,2
320,Fala droždie 42 g   ,0.25,20.0,basic/baking,2
321,"RajoAcidko3,6%250g  ",0.45,10.0,dairy/milk,2
322,Pribin. van. 125g   ,1.19,20.0,dairy/joghurts,2
323,Radoma losos400g    ,6.29,20.0,meat/fish,2
324,KPur.Br.krkov.bk vc ,2.8505747126436782,10.0,meat/meat,2
325,Domáca gazd. slanina,8.984375,20.0,meat/smoked,2
326,"MagnesiaJem.per.1,5l",0.79,20.0,drinks/mineral-water,2
327,Jablko Gala         ,0.6867283950617283,10.0,fruits-veg/fruit,2
328,Mrkva 1kg           ,0.49,20.0,fruits-veg/vegetable,2
329,Zemiaky žlté 2kg    ,0.95,10.0,fruits-veg/vegetable,2
330,Čučoriedky 300g (ks),2.29,20.0,fruits-veg/fruit,2
331,Banány              ,1.5876777251184837,20.0,fruits-veg/fruit,2
332,Br.panenská sv.     ,4.994450610432852,10.0,meat/meat-products,2
333,Vysočina saláma     ,6.913580246913581,20.0,meat/smoked,2
334,Strojová šunka      ,8.924050632911392,20.0,meat/meat-products,2
335,Štud.pečať ml.90g   ,1.29,20.0,snacks/sweet,2
336,Kaufland Card       ,-0.3,20.0,pastry/sweet,2
337,Zlaté venč. kak.150g,0.59,20.0,pastry/sweet,2
338,K.Mandle v čok.100g ,0.69,20.0,snacks/sweet,2
339,Milka H.Cows 100g   ,0.99,20.0,snacks/sweet,2
340,Horalky 50g         ,0.42,20.0,snacks/sweet,2
341,K. Trubič.čoko.280g ,0.99,20.0,dairy/milk,2
342,K.perníky horké500g ,1.39,20.0,basic/sauces,2
343,Orion banány čok.45g,0.29,20.0,snacks/sweet,2
344,Kaufland Card       ,-0.04,20.0,pastry/sweet,2
345,Orion Višne čok.45g ,0.29,20.0,snacks/sweet,2
346,Pleten.pekan.or.88g ,0.39,20.0,snacks/sweet,2
347,Tuniak steak 2x80g  ,1.99,20.0,basic/canned-fish,2
348,Hl.múka 00ext.1kg   ,0.79,20.0,basic/sugar-flour-rice,2
349,Hamé džem jah.300g  ,1.59,20.0,basic/jams-marmelade-honey,2
350,RM Los.krém100g     ,2.99,20.0,meat/deli,2
351,Listk.cesto275g     ,1.33,20.0,basic/baking,2
352,ZLT Slov.šunka 100g ,0.95,20.0,meat/meat-products,2
353,Malokarp. saláma 75g,1.29,20.0,meat/smoked,2
354,Jemná saláma 100 g  ,0.69,20.0,meat/meat-products,2
355,"RioF.JabCvikla0,2l  ",1.19,10.0,drinks/juice,2
356,01 PZWARA3 P-SWEAT                      ,39.99,20.0,home/laundry,6
357,"Galces a.u.v., tbl 1",1.1,10.0,health/vitamins-ointments,7
358,Pomelo              ,1.99,20.0,fruits-veg/fruit,3
359,Zľava Lidl Plus     ,-0.2,20.0,home/plants-garden,3
360,Instant. kakao náp  ,4.19,20.0,snacks/sweet,3
361,Cukor múčka 1kg     ,1.59,20.0,basic/sugar-flour-rice,3
362,Smile gummi ovocie  ,0.59,20.0,snacks/sweet,3
363,"Gran.Padano,strúh.  ",2.89,20.0,dairy/cheese,3
364,Kmotrovky farmár.   ,1.99,20.0,meat/smoked,3
365,Uhorky šalátové     ,0.99,10.0,fruits-veg/vegetable,3
366,Zakys.smotana 16%   ,0.65,10.0,dairy/cream,3
367,Brokolica 500g      ,1.89,10.0,fruits-veg/vegetable,3
368,Zemiaky             ,1.2906976744186047,10.0,fruits-veg/vegetable,3
369,Cherry par.datľové  ,2.19,10.0,fruits-veg/vegetable,3
370,Kaiserka            ,0.15,20.0,pastry/basic,3
371,Mandarínky Satsumas ,0.9836065573770492,20.0,fruits-veg/fruit,3
372,Taštička med.-mak.  ,0.59,20.0,pastry/sweet,3
373,Ružový donut        ,0.44,20.0,pastry/sweet,3
374,Kaiserka cereálna   ,0.16,20.0,pastry/basic,3
375,Zľava Lidl Plus     ,-0.16,20.0,home/plants-garden,3
376,RELAX               ,1.15,20.0,free-time/books-news-magazines,3
377,Tvaroh hrudk.250g   ,1.19,20.0,dairy/cheese,3
378,Bio mlieko 4%       ,1.49,10.0,dairy/milk,3
379,Farm. rezne mix     ,7.987499999999999,10.0,meat/meat,3
380,Karfiol             ,3.39,10.0,fruits-veg/vegetable,3
381,Dusená šunka Pure   ,1.49,20.0,meat/meat-products,3
382,Kuracia šunka       ,1.49,20.0,meat/meat-products,3
383,Banány              ,1.6888888888888889,20.0,fruits-veg/fruit,3
384,Cherry par.datľ.    ,3.89,10.0,fruits-veg/vegetable,3
385,"Biely jogurt 3,7%   ",0.77,10.0,dairy/joghurts,3
386,Paprika žltá        ,3.491379310344828,10.0,fruits-veg/vegetable,3
387,Cuketa              ,2.303370786516854,10.0,fruits-veg/vegetable,3
388,Uhorky šalátové     ,1.29,10.0,fruits-veg/vegetable,3
389,Kešu - med          ,2.29,20.0,fruits-veg/dried-nuts,3
390,Kaiserka            ,0.15,20.0,pastry/basic,3
391,Makový slimák       ,0.69,20.0,pastry/sweet,3
392,Rožok pľundrový     ,0.74,20.0,pastry/basic,3
393,Perník.srdcia hor.  ,2.29,20.0,basic/spices,3
394,Dom. kocky v b.č.   ,2.49,20.0,pastry/basic,3
395,Tuc syr             ,0.69,20.0,dairy/cheese,3
396,Potravinár. farba   ,2.49,20.0,free-time/visual,3
397,Teekanne lesné ov.  ,1.99,20.0,basic/tea-coffee-soups,3
398,Mandarínky Satsumas ,2.294117647058824,20.0,fruits-veg/fruit,3
399,EduschoCCStrong1000g,9.49,20.0,basic/tea-coffee-soups,2
400,Záloha PET #        ,0.15,0.0,drinks/non-alcoholic,2
401,"Hrozno.šťav.č.0,75l ",3.99,10.0,fruits-veg/fruit,2
402,"ZLT Mlieko 1,5% 1l  ",0.99,10.0,dairy/milk,2
403,Kaufland Card       ,-0.15,10.0,pastry/sweet,2
404,WD40 - 450 ml       ,5.99,20.0,home/maintenence,2
405,"K.Rep.olej,1 l      ",1.55,20.0,basic/oil-acid-grease,2
