id,receipt_id,issue_date,organization_id,user_id,tax_base_basic,tax_base_reduced,total_price,free_tax_amount,vat_amount_basic,vat_amount_reduced,vat_rate_basic,vat_rate_reduced
133,O-668668DD769C48108668DD769C681013,15.11.2023 10:59:16,3,19,49.57,7.38,67.6,0,9.91,0.74,20,10
134,O-8BDEA38D05F246739EA38D05F2A67307,27.10.2023 09:47:22,3,7,29.73,23.58,61.62,0,5.95,2.36,20,10
135,O-912536D44AD34AFFA536D44AD39AFF25,20.10.2023 11:31:53,2,17,47.53,20.11,82.16,3,9.51,2.01,20,10
136,O-5E28884C557E40E4A8884C557EA0E4B9,25.09.2023 08:18:40,3,20,28.26,5.42,39.87,0,5.65,0.54,20,10
137,O-B837A6843CEE47EAB7A6843CEE57EAC7,23.10.2023 10:34:08,3,4,26.17,9.49,41.84,0,5.23,0.95,20,10
138,O-CC555FE057334157955FE05733215740,10.11.2023 10:40:59,3,5,43.45,18.03,71.97,0,8.69,1.8,20,10
139,O-B6D89EC65B874690989EC65B873690BD,27.10.2023 10:10:15,55,7,5.15,11.71,19.06,,1.03,1.17,20,10
140,O-C532295591024815B2295591020815A6,30.10.2023 15:36:32,1,13,12.77,0,15.33,0,2.56,0,20,10
141,O-E81C1D12640640E09C1D12640620E0CF,31.10.2023 09:58:12,37,15,9.39,0,11.27,0,1.88,0,20,10
142,O-81FD96B7674346C9BD96B7674386C999,30.10.2023 15:22:39,3,11,41.18,17.85,69.06,0,8.24,1.79,20,10
143,O-34332332225A41A5B32332225A81A588,12.10.2023 10:23:35,19,4,10.07,0,12.09,,2.02,0,20,10
144,O-C81E65809A244C999E65809A24CC991B,20.09.2023 10:43:00,56,13,3.22,9.15,13.93,0,0.65,0.91,20,10
145,O-EDD39EC92CBB4AEA939EC92CBB5AEABF,11.10.2023 10:24:58,5,7,16.23,0,19.48,0,3.25,0,20,10
146,O-3E2E433E6B044325AE433E6B0413251E,02.09.2023 14:18:15,5,19,8.32,0,9.99,0,1.67,0,20,10
147,O-2D34A7AEDF234CEBB4A7AEDF231CEBAE,30.08.2023 14:50:19,37,2,1.51,0,1.8,0,0.3,0,20,10
148,O-80582367B1344059982367B13400596C,18.11.2023 09:32:07,57,10,,3.26,3.59,,,0.33,,10
149,O-BC5E2AB86F9D42FB9E2AB86F9DE2FB10,02.11.2023 14:28:28,58,13,,4.81,5.29,,,0.48,,10
150,O-DEFF175695704AF7BF175695700AF7B7,12.09.2023 10:04:12,41,6,6.1,4.05,11.77,0,1.22,0.4,20,10
151,O-B28DDD9E753E46498DDD9E753E1649E1,05.09.2023 10:53:20,3,12,9.69,11.27,24.03,0,1.94,1.13,20,10
152,O-BC781FA1A0C140D7B81FA1A0C1A0D715,17.10.2023 16:50:16,54,12,2.75,,3.3,,0.55,,20,
153,O-7E6B2A1EE573454EAB2A1EE573854EC0,06.11.2023 21:35:12,59,20,0,21.27,23.4,0,0,2.13,20,10
154,O-784D7BD219934B8E8D7BD21993EB8E8F,17.08.2023 11:17:01,3,11,21.21,12.52,39.22,0,4.24,1.25,20,10
155,O-3A6C93D29E814012AC93D29E81101202,27.07.2023 10:17:59,2,7,37.18,26.18,73.42,0,7.44,2.62,20,10
156,O-E6AB6F5F4D874297AB6F5F4D87D297DC,11.09.2023 15:27:46,5,1,5.54,0,6.65,0,1.11,0,20,10
157,O-78CB44CE7A7942528B44CE7A794252C4,26.09.2023 13:43:25,4,1,4.97,0,6.12,0.15,1,0,20,10
158,O-2769C76A4C724065A9C76A4C72B06530,06.07.2023 12:14:58,16,20,25.75,0,30.9,0,5.15,0,20,10
159,O-0D98663307B748C898663307B7E8C8AE,03.07.2023 09:51:26,16,13,11.33,0,13.6,0,2.27,0,20,10
160,O-0166E9B072D84B0DA6E9B072D87B0D88,03.07.2023 09:42:01,26,9,,14.34,15.77,,,1.43,,10
161,O-BD1770F9CD6541439770F9CD65F1434C,28.08.2023 10:40:35,57,3,2.32,5.45,8.78,,0.47,0.54,20,10
162,O-BA66343361AE420EA6343361AEB20EAA,03.11.2023 16:51:46,64,7,12.08,,14.5,,2.42,,20,
163,O-E43B911D70604809BB911D7060F809AC,02.08.2023 12:32:38,3,6,35.79,1.35,45.79,1.35,7.16,0.14,20,10
164,O-513A452DEEC54497BA452DEEC51497B3,10.08.2023 10:29:07,16,8,13.21,0,15.85,0,2.64,0,20,10
165,O-54D7A5DC4CDA4BA697A5DC4CDA7BA6BB,20.10.2023 08:11:07,25,9,0.75,15.55,18,0,0.15,1.55,20,10
166,O-11AD57C30B61489BAD57C30B61189BD5,13.09.2023 14:38:37,19,5,,82.98,91.28,,,8.3,,10
167,O-D85FC189314345DE9FC1893143E5DE6D,21.11.2023 15:43:26,19,1,,82.98,91.28,,,8.3,,10
168,O-5415B32499D149EA95B32499D1C9EA2C,09.11.2023 08:10:33,20,19,5.47,1.09,7.76,,1.09,0.11,20,10
169,O-E810549E89A145FD90549E89A165FDA5,11.10.2023 10:50:54,3,10,23.93,4.6,30.33,-3.45,4.79,0.46,20,10
170,O-7CD60755FC8D4AFD960755FC8DDAFDF1,15.11.2023 21:19:28,65,12,,25.36,27.9,,,2.54,,10
171,O-22569D6ECD7541B7969D6ECD7541B7CB,03.11.2023 16:50:31,66,15,8.33,,10,,1.67,,20,
172,O-B3C3F7E8416949D683F7E8416989D6DA,14.09.2023 10:19:45,20,9,9.26,,11.11,,1.85,,20,
173,O-A591AD4C95DF45AF91AD4C95DF45AFAE,14.09.2023 10:27:00,22,20,2.02,1.35,3.91,0,0.4,0.14,20,10
174,O-DE98AE1789694D7098AE178969DD7086,26.09.2023 21:36:18,69,17,,12.64,13.9,,,1.26,,10
175,O-C146AC724AA44CA786AC724AA46CA770,08.09.2023 11:09:40,3,17,46.24,2.86,58.64,0,9.25,0.29,20,10
176,O-373C455CAAA54C28BC455CAAA50C28B2,21.09.2023 11:39:37,70,20,1.67,,2,,0.33,,20,
177,O-2B18187EF4A7474298187EF4A7B7426E,18.08.2023 16:18:46,49,12,59.29,0,71.15,0,11.86,0,20,10
178,O-08A4048FF15E42B3A4048FF15E42B393,18.10.2023 10:43:13,19,7,6.07,,7.29,,1.22,,20,
179,O-37225A59FFCC4B7CA25A59FFCC9B7C04,12.09.2023 21:42:37,71,2,0,82.36,90.6,0,0,8.24,20,10
180,O-D24116843E4640B38116843E46C0B3C5,12.09.2023 10:20:38,20,3,,15.4,16.94,,,1.54,,10
181,O-D355E0FAD7BB47B695E0FAD7BBB7B64B,26.03.2023 14:48:29,72,17,,6.82,7.5,,,0.68,,10
182,O-CBDFB07C69E3430C9FB07C69E3E30CA2,17.11.2023 11:09:31,73,5,72.12,0,86.54,0,14.42,0,20,10
183,O-18E95DC58D6944C3A95DC58D69D4C3B2,18.10.2023 11:32:21,74,17,1.33,23.55,27.5,,0.27,2.35,20,10
184,O-3F1B5608409C41559B5608409CF15545,18.11.2023 08:50:20,38,17,44.4,0,53.3,0,8.88,0,20,10
185,O-A3B59F1F799942E4B59F1F7999B2E46B,13.11.2023 10:16:48,10,17,2.65,,3.18,,0.53,,20,
186,O-F33AAFEC92124379BAAFEC921273790E,03.10.2023 16:10:46,10,2,1.32,,1.6,,0.27,,20,
187,O-0B1A51BE8C8341D79A51BE8C8371D734,18.10.2023 13:41:38,16,2,33.33,0,40,0,6.67,0,20,10
188,O-BA7A07236433413DBA07236433113D20,19.09.2023 12:20:30,5,5,1.9,0,2.28,0,0.38,0,20,10
189,O-44A13AFF9C144307A13AFF9C14C30727,29.09.2023 15:13:13,37,1,7.84,4.12,13.94,0,1.57,0.41,20,10
190,O-F611DE2C0FBD451691DE2C0FBD75163F,17.10.2023 16:46:30,54,1,6.71,,8.05,,1.34,,20,
191,O-FB52E52C1A3C447892E52C1A3C74784E,04.09.2023 11:30:54,75,19,16.67,0,20,0,3.33,0,20,10
192,O-4C12E5DC75EF4E6792E5DC75EF4E67D1,01.08.2023 11:46:20,16,2,14.96,0,17.95,0,2.99,0,20,10
193,O-88D4280D74654E6294280D7465CE6244,27.06.2023 17:37:23,24,12,50.39,,60.47,,10.08,,20,
194,O-270D9BF87DA74E8B8D9BF87DA7EE8B3A,04.09.2023 15:39:30,5,6,32.48,0,38.98,0,6.5,0,20,10
195,O-6E25937A97F84875A5937A97F8C875B3,04.09.2023 11:43:09,16,4,7.25,0,8.7,0,1.45,0,20,10
196,O-3C4F45004A4F491A8F45004A4F891AC4,25.08.2023 14:20:47,76,11,2.82,0,3.39,0,0.57,0,20,10
197,O-5BA42D0E1CCB4CEEA42D0E1CCBCCEE16,19.08.2023 10:02:15,37,17,7.22,0,8.22,-0.45,1.45,0,20,10
198,O-30A05DC4FFD543B7A05DC4FFD533B7EF,11.08.2023 18:22:10,77,6,,,24.7,24.7,,,,
199,O-019BBBCE3DC943F29BBBCE3DC953F2A0,28.07.2023 16:25:50,37,5,2.36,6.27,9.73,0,0.47,0.63,20,10
200,O-4CCD432CB7BF4C868D432CB7BF7C86E5,16.08.2023 10:10:21,78,20,5.83,10.45,18.5,,1.17,1.05,20,10
201,O-ADDF37B79C4245CA9F37B79C4255CA8D,03.11.2023 09:14:11,20,2,19,15.38,39.72,,3.8,1.54,20,10
202,O-4BE48979A48C489FA48979A48C189FFA,03.11.2023 09:22:11,22,6,6.02,2.34,9.8,0,1.21,0.23,20,10
203,O-3AE4576FF9824542A4576FF982D542EB,04.11.2023 09:01:23,49,11,47.5,0,57,0,9.5,0,20,10
204,O-40E3704C9B0345E8A3704C9B0315E8B3,14.10.2023 10:56:35,80,16,0,0,20,20,0,0,20,10
205,O-7BE847F2B9364206A847F2B93672061B,13.10.2023 09:31:27,50,16,,,30,30,,,,
206,O-10581744631A42E2981744631A02E22E,06.10.2023 11:30:45,41,1,6.82,0,8.18,0,1.36,0,20,10
207,O-D1174F7CE1474756974F7CE147B756CD,15.10.2023 16:11:02,81,9,,283.18,311.5,,,28.32,,10
208,O-43CBE9A78D954F268BE9A78D95FF2689,26.08.2023 12:12:15,41,6,34.37,9.21,52.28,0.9,6.88,0.92,20,10
209,O-A3602BB41FB44BD1A02BB41FB42BD192,16.09.2023 14:02:10,82,16,,49.45,54.4,,,4.95,,10
210,O-6F2E1A4A133346B4AE1A4A133306B469,08.09.2023 10:45:38,26,3,,5.45,5.99,,,0.54,,10
211,O-CCAB16F2656E4961AB16F2656EF961F1,05.09.2023 19:01:13,83,20,,191.45,210.6,,,19.15,,10
212,O-0A6D295360FB44C3AD295360FB14C334,06.09.2023 10:15:05,26,4,7.91,,9.49,,1.58,,20,
213,O-4B69F28F976D47C4A9F28F976D77C48E,06.09.2023 10:32:46,5,19,19.37,0,23.25,0,3.88,0,20,10
214,O-6098F429EA3B490598F429EA3B1905A8,06.09.2023 10:38:02,16,3,4.75,0,5.7,0,0.95,0,20,10
215,O-E38DE2CD855E4EBA8DE2CD855E9EBAAF,05.09.2023 10:25:15,10,19,4.92,,5.9,,0.98,,20,
216,O-CF24DAC7BD134A45A4DAC7BD139A4572,05.09.2023 10:31:35,48,20,6.25,0,7.5,0,1.25,0,20,10
217,O-CBF583F301C040B1B583F301C040B1CA,02.09.2023 13:35:17,84,7,0,33.55,36.9,0,0,3.35,20,10
218,O-D9CAA4F5F14D46CE8AA4F5F14D26CEF4,09.09.2023 09:27:17,18,20,61.81,0,74.17,0,12.36,0,20,10
219,O-A1B004D66EC247D5B004D66EC287D58F,26.09.2023 15:08:44,85,9,7.25,,8.7,,1.45,,20,
220,O-6BCE12736539452D8E12736539152D6C,24.08.2023 16:10:13,3,1,46.35,0,55.62,0,9.27,0,20,10
221,O-8D6A86D6C08E4D3DAA86D6C08E8D3DD2,30.09.2023 16:31:47,79,8,15.54,,18.65,,3.11,,20,
222,O-933B417EF0774B7CBB417EF0777B7C8F,02.09.2023 14:30:08,86,7,8.85,,10.62,,1.77,,20,
