category,product_id,quantity
drugstore/hygiene,20,1.0
dairy/cheese,21,1.0
basic/spread,21,1.0
meat/meat-products,21,1.0
dairy/cheese,21,1.0
basic/spread,21,1.0
meat/meat-products,21,1.0
dairy/cheese,21,1.0
basic/spread,21,1.0
meat/meat-products,21,1.0
dairy/cheese,21,1.0
basic/spread,21,1.0
meat/meat-products,21,1.0
dairy/cheese,21,1.0
basic/spread,21,1.0
meat/meat-products,21,1.0
dairy/cheese,21,1.0
basic/spread,21,1.0
meat/meat-products,21,1.0
dairy/cheese,21,1.0
basic/spread,21,1.0
meat/meat-products,21,1.0
dairy/cheese,21,1.0
basic/spread,21,1.0
meat/meat-products,21,1.0
dairy/cheese,21,1.0
basic/spread,21,1.0
meat/meat-products,21,1.0
dairy/cheese,21,1.0
basic/spread,21,1.0
meat/meat-products,21,1.0
frozen/instant,22,1.102
dairy/cheese,22,1.102
pastry/salty,22,1.102
drinks/beer,23,1.0
meat/meat,23,1.0
home/accessories,23,1.0
health/medical-supplies,24,1.0
home/maintenence,24,1.0
home/decorations,24,1.0
drinks/beer,25,1.0
meat/meat,25,1.0
home/accessories,25,1.0
home/maintenence,26,1.0
home/accessories,26,1.0
health/medical-supplies,26,1.0
home/accessories,26,1.0
home/maintenence,26,1.0
health/medical-supplies,26,1.0
home/accessories,26,1.0
home/maintenence,26,1.0
health/medical-supplies,26,1.0
home/accessories,26,1.0
home/maintenence,26,1.0
health/medical-supplies,26,1.0
home/accessories,26,1.0
home/maintenence,26,1.0
health/medical-supplies,26,1.0
home/accessories,26,1.0
home/maintenence,26,1.0
health/medical-supplies,26,1.0
home/accessories,26,1.0
home/maintenence,26,1.0
health/medical-supplies,26,1.0
home/accessories,26,1.0
home/maintenence,26,1.0
health/medical-supplies,26,1.0
home/accessories,26,1.0
home/maintenence,26,1.0
health/medical-supplies,26,1.0
home/accessories,26,1.0
home/maintenence,26,1.0
health/medical-supplies,26,1.0
free-time/other,27,20.0
other,27,20.0
meat/fish,27,20.0
fruits-veg/fruit,28,0.252
drinks/mineral-water,28,0.252
drinks/alcohol,28,0.252
dairy/joghurts,29,1.0
health/vitamins-ointments,29,1.0
pastry/sweet,29,1.0
drinks/beer,30,1.0
meat/meat,30,1.0
home/accessories,30,1.0
dairy/butter,31,2.0
dairy/lact-free,31,2.0
basic/oil-acid-grease,31,2.0
other,32,1.0
meat/meat,32,1.0
home/maintenence,32,1.0
health/vitamins-ointments,33,2.0
snacks/sweet,33,2.0
pastry/sweet,33,2.0
fruits-veg/fruit,34,1.0
free-time/books-news-magazines,34,1.0
meat/meat-products,34,1.0
fruits-veg/fruit,34,1.0
free-time/books-news-magazines,34,1.0
meat/meat-products,34,1.0
pastry/basic,35,1.0
pastry/salty,35,1.0
home/accessories,35,1.0
meat/smoked,36,1.0
meat/meat-products,36,1.0
meat/fish,36,1.0
basic/baking,37,1.0
dairy/lact-free,37,1.0
health/vitamins-ointments,37,1.0
basic/baking,37,1.0
dairy/lact-free,37,1.0
health/vitamins-ointments,37,1.0
basic/baking,37,1.0
dairy/lact-free,37,1.0
health/vitamins-ointments,37,1.0
basic/baking,37,1.0
dairy/lact-free,37,1.0
health/vitamins-ointments,37,1.0
basic/baking,37,1.0
dairy/lact-free,37,1.0
basic/pasta,37,1.0
pastry/sweet,38,1.0
home/decorations,38,1.0
drinks/beer,38,1.0
pets,39,1.0
meat/fish,39,1.0
home/office,39,1.0
pets,39,1.0
meat/fish,39,1.0
home/office,39,1.0
pets,39,1.0
meat/fish,39,1.0
home/office,39,1.0
pets,39,1.0
meat/fish,39,1.0
home/office,39,1.0
pastry/sweet,40,5.0
home/decorations,40,5.0
drinks/beer,40,5.0
home/maintenence,41,2.0
home/cleaning,41,2.0
home/office,41,2.0
home/maintenence,41,2.0
home/cleaning,41,2.0
home/office,41,2.0
home/maintenence,41,2.0
home/cleaning,41,2.0
home/office,41,2.0
home/maintenence,41,2.0
home/cleaning,41,2.0
home/office,41,2.0
pastry/sweet,42,1.0
home/decorations,42,1.0
drinks/beer,42,1.0
basic/pasta,43,1.0
home/maintenence,43,1.0
drinks/alcohol,43,1.0
basic/pasta,43,1.0
home/maintenence,43,1.0
drinks/alcohol,43,1.0
basic/pasta,43,1.0
home/maintenence,43,1.0
drinks/alcohol,43,1.0
basic/pasta,43,1.0
home/maintenence,43,1.0
drinks/alcohol,43,1.0
pastry/sweet,44,0.967
home/decorations,44,0.967
drinks/beer,44,0.967
baby/supplies-hygiene,45,1.0
home/maintenence,45,1.0
home/office,45,1.0
baby/supplies-hygiene,45,1.0
home/maintenence,45,1.0
home/office,45,1.0
baby/supplies-hygiene,45,1.0
home/maintenence,45,1.0
home/office,45,1.0
baby/supplies-hygiene,45,1.0
home/maintenence,45,1.0
home/office,45,1.0
pastry/sweet,46,1.0
home/decorations,46,1.0
drinks/beer,46,1.0
drinks/juice,47,2.0
home/plants-garden,47,2.0
drinks/non-alcoholic,47,2.0
drinks/juice,47,2.0
home/plants-garden,47,2.0
drinks/non-alcoholic,47,2.0
drinks/juice,47,2.0
home/plants-garden,47,2.0
drinks/non-alcoholic,47,2.0
drinks/juice,47,2.0
home/plants-garden,47,2.0
drinks/non-alcoholic,47,2.0
baby/food,48,2.0
meat/meat-products,48,2.0
basic/spread,48,2.0
baby/food,48,2.0
meat/meat-products,48,2.0
basic/spread,48,2.0
baby/food,48,2.0
meat/meat-products,48,2.0
basic/spread,48,2.0
baby/food,48,2.0
meat/meat-products,48,2.0
basic/spread,48,2.0
pastry/sweet,49,3.0
home/decorations,49,3.0
drinks/beer,49,3.0
dairy/milk,50,1.0
dairy/joghurts,50,1.0
drinks/beer,50,1.0
dairy/milk,50,1.0
dairy/joghurts,50,1.0
drinks/beer,50,1.0
dairy/milk,50,1.0
dairy/joghurts,50,1.0
drinks/beer,50,1.0
dairy/milk,50,1.0
dairy/joghurts,50,1.0
drinks/beer,50,1.0
basic/canned-fruits-vegetable,51,1.0
meat/fish,51,1.0
dairy/cheese,51,1.0
basic/canned-fruits-vegetable,51,1.0
meat/fish,51,1.0
dairy/cheese,51,1.0
basic/canned-fruits-vegetable,51,1.0
meat/fish,51,1.0
dairy/cheese,51,1.0
basic/canned-fruits-vegetable,51,1.0
meat/fish,51,1.0
dairy/cheese,51,1.0
pastry/sweet,52,1.0
basic/tea-coffee-soups,52,1.0
free-time/toys,52,1.0
basic/spread,53,1.0
snacks/sweet,53,1.0
meat/meat-products,53,1.0
basic/spread,53,1.0
snacks/sweet,53,1.0
meat/meat-products,53,1.0
basic/spread,53,1.0
snacks/sweet,53,1.0
meat/meat-products,53,1.0
basic/spread,53,1.0
snacks/sweet,53,1.0
meat/meat-products,53,1.0
pastry/sweet,54,1.104
home/decorations,54,1.104
drinks/beer,54,1.104
dairy/eggs,55,1.0
home/accessories,55,1.0
pastry/salty,55,1.0
dairy/eggs,55,1.0
home/accessories,55,1.0
pastry/salty,55,1.0
dairy/eggs,55,1.0
home/accessories,55,1.0
pastry/salty,55,1.0
dairy/eggs,55,1.0
home/accessories,55,1.0
pastry/salty,55,1.0
pastry/sweet,56,1.0
home/decorations,56,1.0
drinks/beer,56,1.0
dairy/joghurts,57,0.164
health/vitamins-ointments,57,0.164
basic/baking,57,0.164
dairy/joghurts,57,0.164
health/vitamins-ointments,57,0.164
basic/baking,57,0.164
dairy/joghurts,57,0.164
health/vitamins-ointments,57,0.164
basic/baking,57,0.164
dairy/joghurts,57,0.164
health/vitamins-ointments,57,0.164
basic/baking,57,0.164
dairy/joghurts,57,0.164
health/vitamins-ointments,57,0.164
basic/baking,57,0.164
dairy/cream,58,0.165
dairy/joghurts,58,0.165
basic/baking,58,0.165
dairy/cream,58,0.165
dairy/joghurts,58,0.165
basic/baking,58,0.165
dairy/cream,58,0.165
dairy/joghurts,58,0.165
basic/baking,58,0.165
dairy/cream,58,0.165
dairy/joghurts,58,0.165
basic/baking,58,0.165
pastry/sweet,59,1.0
home/decorations,59,1.0
drinks/beer,59,1.0
dairy/butter,60,1.0
pastry/salty,60,1.0
basic/oil-acid-grease,60,1.0
dairy/butter,60,1.0
pastry/salty,60,1.0
basic/oil-acid-grease,60,1.0
dairy/butter,60,1.0
pastry/salty,60,1.0
basic/oil-acid-grease,60,1.0
dairy/butter,60,1.0
pastry/salty,60,1.0
basic/oil-acid-grease,60,1.0
dairy/cheese,61,2.0
drinks/alcohol,61,2.0
drinks/wine,61,2.0
dairy/cheese,61,2.0
drinks/alcohol,61,2.0
drinks/wine,61,2.0
dairy/cheese,61,2.0
drinks/alcohol,61,2.0
drinks/wine,61,2.0
dairy/cheese,61,2.0
drinks/alcohol,61,2.0
drinks/wine,61,2.0
pastry/sweet,62,2.0
home/decorations,62,2.0
drinks/beer,62,2.0
meat/meat,63,1.0
basic/instant,63,1.0
fashion/clothes,63,1.0
meat/meat,63,1.0
basic/instant,63,1.0
fashion/clothes,63,1.0
meat/meat,63,1.0
basic/instant,63,1.0
fashion/clothes,63,1.0
meat/meat,63,1.0
basic/instant,63,1.0
fashion/clothes,63,1.0
snacks/sweet,64,1.0
home/maintenence,64,1.0
pastry/sweet,64,1.0
snacks/sweet,64,1.0
home/maintenence,64,1.0
pastry/sweet,64,1.0
snacks/sweet,64,1.0
home/maintenence,64,1.0
pastry/sweet,64,1.0
snacks/sweet,64,1.0
home/maintenence,64,1.0
pastry/sweet,64,1.0
pastry/sweet,65,1.0
basic/tea-coffee-soups,65,1.0
free-time/toys,65,1.0
dairy/cheese,66,2.0
basic/baking,66,2.0
fruits-veg/dried-nuts,66,2.0
dairy/cheese,66,2.0
basic/baking,66,2.0
fruits-veg/dried-nuts,66,2.0
dairy/cheese,66,2.0
basic/baking,66,2.0
fruits-veg/dried-nuts,66,2.0
dairy/cheese,66,2.0
basic/baking,66,2.0
fruits-veg/dried-nuts,66,2.0
pastry/sweet,67,1.0
home/decorations,67,1.0
drinks/beer,67,1.0
drinks/mineral-water,68,1.0
drinks/non-alcoholic,68,1.0
home/maintenence,68,1.0
drinks/mineral-water,68,1.0
drinks/non-alcoholic,68,1.0
home/maintenence,68,1.0
drinks/mineral-water,68,1.0
drinks/non-alcoholic,68,1.0
home/maintenence,68,1.0
drinks/mineral-water,68,1.0
drinks/non-alcoholic,68,1.0
home/maintenence,68,1.0
drinks/mineral-water,68,1.0
drinks/non-alcoholic,68,1.0
home/maintenence,68,1.0
drinks/mineral-water,69,1.0
drinks/non-alcoholic,69,1.0
dairy/milk,69,1.0
drinks/mineral-water,69,1.0
drinks/non-alcoholic,69,1.0
dairy/milk,69,1.0
drinks/mineral-water,69,1.0
drinks/non-alcoholic,69,1.0
dairy/milk,69,1.0
drinks/mineral-water,69,1.0
drinks/non-alcoholic,69,1.0
dairy/milk,69,1.0
drinks/mineral-water,69,1.0
drinks/non-alcoholic,69,1.0
dairy/milk,69,1.0
drinks/mineral-water,69,1.0
drinks/non-alcoholic,69,1.0
dairy/milk,69,1.0
drinks/mineral-water,69,1.0
drinks/non-alcoholic,69,1.0
dairy/milk,69,1.0
drinks/mineral-water,69,1.0
drinks/non-alcoholic,69,1.0
dairy/milk,69,1.0
drinks/mineral-water,69,1.0
drinks/non-alcoholic,69,1.0
dairy/milk,69,1.0
drinks/mineral-water,69,1.0
drinks/non-alcoholic,69,1.0
dairy/milk,69,1.0
dairy/joghurts,70,2.0
drinks/non-alcoholic,70,2.0
eating,70,2.0
dairy/joghurts,70,2.0
drinks/non-alcoholic,70,2.0
eating,70,2.0
dairy/joghurts,70,2.0
drinks/non-alcoholic,70,2.0
eating,70,2.0
dairy/joghurts,70,2.0
drinks/non-alcoholic,70,2.0
eating,70,2.0
drinks/non-alcoholic,70,2.0
dairy/joghurts,70,2.0
basic/baking,70,2.0
drinks/non-alcoholic,71,5.0
home/maintenence,71,5.0
basic/baking,71,5.0
drinks/non-alcoholic,71,5.0
home/maintenence,71,5.0
basic/baking,71,5.0
drinks/non-alcoholic,71,5.0
home/maintenence,71,5.0
basic/baking,71,5.0
drinks/non-alcoholic,71,5.0
home/maintenence,71,5.0
basic/baking,71,5.0
drinks/juice,72,1.0
fruits-veg/fruit,72,1.0
basic/tea-coffee-soups,72,1.0
drinks/juice,72,1.0
fruits-veg/fruit,72,1.0
basic/tea-coffee-soups,72,1.0
drinks/juice,72,1.0
fruits-veg/fruit,72,1.0
basic/tea-coffee-soups,72,1.0
drinks/juice,72,1.0
fruits-veg/fruit,72,1.0
basic/tea-coffee-soups,72,1.0
fruits-veg/vegetable,73,1.0
dairy/cheese,73,1.0
home/plants-garden,73,1.0
fruits-veg/vegetable,73,1.0
dairy/cheese,73,1.0
home/plants-garden,73,1.0
fruits-veg/vegetable,73,1.0
dairy/cheese,73,1.0
home/plants-garden,73,1.0
fruits-veg/vegetable,73,1.0
dairy/cheese,73,1.0
home/plants-garden,73,1.0
fruits-veg/vegetable,74,1.0
home/plants-garden,74,1.0
drinks/beer,74,1.0
fruits-veg/vegetable,74,1.0
home/plants-garden,74,1.0
drinks/beer,74,1.0
fruits-veg/vegetable,74,1.0
home/plants-garden,74,1.0
drinks/beer,74,1.0
fruits-veg/vegetable,74,1.0
home/plants-garden,74,1.0
drinks/beer,74,1.0
fruits-veg/vegetable,74,1.0
home/plants-garden,74,1.0
drinks/beer,74,1.0
fruits-veg/fruit,75,1.0
meat/meat-products,75,1.0
free-time/books-news-magazines,75,1.0
fruits-veg/fruit,75,1.0
meat/meat-products,75,1.0
free-time/books-news-magazines,75,1.0
fruits-veg/fruit,75,1.0
meat/meat-products,75,1.0
free-time/books-news-magazines,75,1.0
fruits-veg/fruit,75,1.0
meat/meat-products,75,1.0
free-time/books-news-magazines,75,1.0
pastry/sweet,76,1.0
home/decorations,76,1.0
drinks/beer,76,1.0
home/plants-garden,77,1.0
basic/baking,77,1.0
free-time/books-news-magazines,77,1.0
home/plants-garden,77,1.0
basic/baking,77,1.0
free-time/books-news-magazines,77,1.0
home/plants-garden,77,1.0
basic/baking,77,1.0
free-time/books-news-magazines,77,1.0
home/plants-garden,77,1.0
basic/baking,77,1.0
free-time/books-news-magazines,77,1.0
fruits-veg/vegetable,78,1.0
meat/deli,78,1.0
home/plants-garden,78,1.0
fruits-veg/vegetable,78,1.0
meat/deli,78,1.0
home/plants-garden,78,1.0
fruits-veg/vegetable,78,1.0
meat/deli,78,1.0
home/plants-garden,78,1.0
fruits-veg/vegetable,78,1.0
meat/deli,78,1.0
home/plants-garden,78,1.0
meat/smoked,79,1.0
meat/meat-products,79,1.0
hazard,79,1.0
meat/smoked,79,1.0
meat/meat-products,79,1.0
hazard,79,1.0
meat/smoked,79,1.0
meat/meat-products,79,1.0
hazard,79,1.0
meat/smoked,79,1.0
meat/meat-products,79,1.0
hazard,79,1.0
meat/meat-products,80,5.0
drinks/alcohol,80,5.0
drinks/mineral-water,80,5.0
meat/meat-products,80,5.0
drinks/alcohol,80,5.0
drinks/mineral-water,80,5.0
meat/meat-products,80,5.0
drinks/alcohol,80,5.0
drinks/mineral-water,80,5.0
meat/meat-products,80,5.0
drinks/alcohol,80,5.0
drinks/mineral-water,80,5.0
pastry/sweet,81,2.039
home/decorations,81,2.039
drinks/beer,81,2.039
snacks/sweet,82,6.0
health/vitamins-ointments,82,6.0
health/medical-supplies,82,6.0
snacks/sweet,82,6.0
health/vitamins-ointments,82,6.0
health/medical-supplies,82,6.0
snacks/sweet,82,6.0
health/vitamins-ointments,82,6.0
health/medical-supplies,82,6.0
snacks/sweet,82,6.0
health/vitamins-ointments,82,6.0
health/medical-supplies,82,6.0
home/accessories,83,1.0
basic/sugar-flour-rice,83,1.0
basic/baking,83,1.0
home/accessories,83,1.0
basic/sugar-flour-rice,83,1.0
basic/baking,83,1.0
home/accessories,83,1.0
basic/sugar-flour-rice,83,1.0
basic/baking,83,1.0
home/accessories,83,1.0
basic/sugar-flour-rice,83,1.0
basic/baking,83,1.0
home/accessories,83,1.0
basic/sugar-flour-rice,83,1.0
basic/baking,83,1.0
pastry/sweet,84,1.0
snacks/sweet,84,1.0
basic/tea-coffee-soups,84,1.0
pastry/sweet,84,1.0
snacks/sweet,84,1.0
basic/tea-coffee-soups,84,1.0
pastry/sweet,84,1.0
snacks/sweet,84,1.0
basic/tea-coffee-soups,84,1.0
pastry/sweet,84,1.0
snacks/sweet,84,1.0
basic/tea-coffee-soups,84,1.0
dairy/cheese,85,1.0
drinks/beer,85,1.0
free-time/toys,85,1.0
dairy/cheese,85,1.0
drinks/beer,85,1.0
free-time/toys,85,1.0
dairy/cheese,85,1.0
drinks/beer,85,1.0
free-time/toys,85,1.0
dairy/cheese,85,1.0
drinks/beer,85,1.0
free-time/toys,85,1.0
drinks/beer,86,1.0
baby/supplies-hygiene,86,1.0
home/maintenence,86,1.0
drinks/beer,86,1.0
baby/supplies-hygiene,86,1.0
home/maintenence,86,1.0
drinks/beer,86,1.0
baby/supplies-hygiene,86,1.0
home/maintenence,86,1.0
drinks/beer,86,1.0
baby/supplies-hygiene,86,1.0
home/maintenence,86,1.0
fruits-veg/dried-nuts,87,1.0
free-time/toys,87,1.0
meat/smoked,87,1.0
fruits-veg/dried-nuts,87,1.0
free-time/toys,87,1.0
meat/smoked,87,1.0
fruits-veg/dried-nuts,87,1.0
free-time/toys,87,1.0
meat/smoked,87,1.0
fruits-veg/dried-nuts,87,1.0
free-time/toys,87,1.0
meat/smoked,87,1.0
basic/tea-coffee-soups,88,1.0
basic/spread,88,1.0
snacks/sweet,88,1.0
basic/tea-coffee-soups,88,1.0
basic/spread,88,1.0
snacks/sweet,88,1.0
basic/tea-coffee-soups,88,1.0
basic/spread,88,1.0
snacks/sweet,88,1.0
basic/tea-coffee-soups,88,1.0
basic/spread,88,1.0
snacks/sweet,88,1.0
snacks/sweet,89,1.0
home/office,89,1.0
fruits-veg/vegetable,89,1.0
snacks/sweet,89,1.0
home/office,89,1.0
fruits-veg/vegetable,89,1.0
snacks/sweet,89,1.0
home/office,89,1.0
fruits-veg/vegetable,89,1.0
snacks/sweet,89,1.0
home/office,89,1.0
fruits-veg/vegetable,89,1.0
basic/oil-acid-grease,90,1.0
auto/care,90,1.0
drinks/wine,90,1.0
basic/oil-acid-grease,90,1.0
auto/care,90,1.0
drinks/wine,90,1.0
basic/oil-acid-grease,90,1.0
auto/care,90,1.0
drinks/wine,90,1.0
basic/oil-acid-grease,90,1.0
auto/care,90,1.0
drinks/wine,90,1.0
basic/canned-fruits-vegetable,91,2.0
drinks/beer,91,2.0
baby/supplies-hygiene,91,2.0
basic/canned-fruits-vegetable,91,2.0
drinks/beer,91,2.0
baby/supplies-hygiene,91,2.0
basic/canned-fruits-vegetable,91,2.0
drinks/beer,91,2.0
baby/supplies-hygiene,91,2.0
basic/canned-fruits-vegetable,91,2.0
drinks/beer,91,2.0
baby/supplies-hygiene,91,2.0
snacks/sweet,92,1.0
pastry/sweet,92,1.0
dairy/joghurts,92,1.0
snacks/sweet,92,1.0
pastry/sweet,92,1.0
dairy/joghurts,92,1.0
snacks/sweet,92,1.0
pastry/sweet,92,1.0
dairy/joghurts,92,1.0
snacks/sweet,92,1.0
pastry/sweet,92,1.0
dairy/joghurts,92,1.0
dairy/joghurts,93,1.0
snacks/sweet,93,1.0
basic/baking,93,1.0
dairy/joghurts,93,1.0
snacks/sweet,93,1.0
basic/baking,93,1.0
dairy/joghurts,93,1.0
snacks/sweet,93,1.0
basic/baking,93,1.0
dairy/joghurts,93,1.0
snacks/sweet,93,1.0
basic/baking,93,1.0
basic/canned-fish,94,1.0
meat/deli,94,1.0
basic/sauces,94,1.0
basic/canned-fish,94,1.0
meat/deli,94,1.0
basic/sauces,94,1.0
basic/canned-fish,94,1.0
meat/deli,94,1.0
basic/sauces,94,1.0
basic/canned-fish,94,1.0
meat/deli,94,1.0
basic/sauces,94,1.0
basic/canned-fish,94,1.0
basic/flavoring,94,1.0
meat/deli,94,1.0
pastry/sweet,95,30.0
home/decorations,95,30.0
drinks/beer,95,30.0
basic/pasta,96,2.0
home/office,96,2.0
basic/canned-fish,96,2.0
basic/pasta,96,2.0
home/office,96,2.0
basic/canned-fish,96,2.0
basic/pasta,96,2.0
home/office,96,2.0
basic/canned-fish,96,2.0
basic/pasta,96,2.0
home/office,96,2.0
basic/canned-fish,96,2.0
home/accessories,97,4.0
home/office,97,4.0
pastry/other,97,4.0
home/accessories,97,4.0
home/office,97,4.0
pastry/other,97,4.0
home/accessories,97,4.0
home/office,97,4.0
pastry/other,97,4.0
home/accessories,97,4.0
home/office,97,4.0
pastry/other,97,4.0
home/office,97,4.0
home/accessories,97,4.0
fruits-veg/vegetable,97,4.0
home/office,97,4.0
home/accessories,97,4.0
fruits-veg/vegetable,97,4.0
home/office,97,4.0
home/accessories,97,4.0
fruits-veg/vegetable,97,4.0
home/office,97,4.0
home/accessories,97,4.0
fruits-veg/vegetable,97,4.0
home/office,97,4.0
home/accessories,97,4.0
fruits-veg/vegetable,97,4.0
home/office,97,4.0
home/accessories,97,4.0
fruits-veg/vegetable,97,4.0
basic/wheat-legumes,98,1.0
home/plants-garden,98,1.0
home/maintenence,98,1.0
basic/wheat-legumes,98,1.0
home/plants-garden,98,1.0
home/maintenence,98,1.0
basic/wheat-legumes,98,1.0
home/plants-garden,98,1.0
home/maintenence,98,1.0
basic/wheat-legumes,98,1.0
home/plants-garden,98,1.0
home/maintenence,98,1.0
meat/meat-products,99,1.0
pastry/salty,99,1.0
dairy/eggs,99,1.0
meat/meat-products,99,1.0
pastry/salty,99,1.0
dairy/eggs,99,1.0
meat/meat-products,99,1.0
pastry/salty,99,1.0
dairy/eggs,99,1.0
meat/meat-products,99,1.0
pastry/salty,99,1.0
dairy/eggs,99,1.0
drinks/juice,100,0.248
basic/canned-fish,100,0.248
drinks/non-alcoholic,100,0.248
drinks/juice,100,0.248
basic/canned-fish,100,0.248
drinks/non-alcoholic,100,0.248
drinks/juice,100,0.248
basic/canned-fish,100,0.248
drinks/non-alcoholic,100,0.248
drinks/juice,100,0.248
basic/canned-fish,100,0.248
drinks/non-alcoholic,100,0.248
basic/baking,101,1.0
home/plants-garden,101,1.0
basic/pasta,101,1.0
basic/baking,101,1.0
home/plants-garden,101,1.0
basic/pasta,101,1.0
basic/baking,101,1.0
home/plants-garden,101,1.0
basic/pasta,101,1.0
basic/baking,101,1.0
home/plants-garden,101,1.0
basic/pasta,101,1.0
meat/deli,102,2.0
meat/fish,102,2.0
basic/canned-fish,102,2.0
meat/deli,102,2.0
meat/fish,102,2.0
basic/canned-fish,102,2.0
meat/deli,102,2.0
meat/fish,102,2.0
basic/canned-fish,102,2.0
meat/deli,102,2.0
meat/fish,102,2.0
basic/canned-fish,102,2.0
meat/deli,102,2.0
meat/fish,102,2.0
pastry/salty,102,2.0
pastry/sweet,103,1.0
dairy/joghurts,103,1.0
drinks/wine,103,1.0
pastry/sweet,103,1.0
dairy/joghurts,103,1.0
drinks/wine,103,1.0
pastry/sweet,103,1.0
dairy/joghurts,103,1.0
drinks/wine,103,1.0
pastry/sweet,103,1.0
dairy/joghurts,103,1.0
drinks/wine,103,1.0
pastry/sweet,103,1.0
dairy/joghurts,103,1.0
drinks/wine,103,1.0
pastry/sweet,103,1.0
dairy/joghurts,103,1.0
drinks/wine,103,1.0
pastry/sweet,103,1.0
dairy/joghurts,103,1.0
drinks/wine,103,1.0
pastry/sweet,103,1.0
dairy/joghurts,103,1.0
drinks/wine,103,1.0
pastry/sweet,103,1.0
dairy/joghurts,103,1.0
drinks/wine,103,1.0
meat/meat,104,2.0
pastry/basic,104,2.0
fashion/clothes,104,2.0
meat/meat,104,2.0
pastry/basic,104,2.0
fashion/clothes,104,2.0
meat/meat,104,2.0
pastry/basic,104,2.0
fashion/clothes,104,2.0
meat/meat,104,2.0
pastry/basic,104,2.0
fashion/clothes,104,2.0
meat/meat,104,2.0
pastry/basic,104,2.0
fashion/clothes,104,2.0
meat/meat,104,2.0
pastry/basic,104,2.0
fashion/clothes,104,2.0
meat/meat,104,2.0
pastry/basic,104,2.0
fashion/clothes,104,2.0
meat/meat,104,2.0
pastry/basic,104,2.0
fashion/clothes,104,2.0
meat/meat,104,2.0
pastry/basic,104,2.0
fashion/clothes,104,2.0
home/accessories,105,1.0
home/maintenence,105,1.0
pastry/sweet,105,1.0
snacks/sweet,106,1.0
home/accessories,106,1.0
home/maintenence,106,1.0
snacks/sweet,106,1.0
home/accessories,106,1.0
home/maintenence,106,1.0
snacks/sweet,106,1.0
home/accessories,106,1.0
home/maintenence,106,1.0
snacks/sweet,106,1.0
home/accessories,106,1.0
home/maintenence,106,1.0
snacks/sweet,106,1.0
home/accessories,106,1.0
