id,name,category
60,RMZ Group,
61,Bohdal,
62,Saba Parking,
63,Parking Kramare,
64,Dušan Záhorský - LU&D&KU-Z,Bývanie a energie/null
65,DENBEN s. r. o.,Zábava a oddych/null
66,"BISTRO, s. r. o.",Stravovanie/null
67,"WAGON SLOVAKIA KOŠICE, a.s.",Stravovanie/Reštaurácie a kaviarne
68,MPK Toys,
69,"Taormina, s.r.o.",Stravovanie/null
70,Bohdal RAJ s. r. o.,Auto-moto/null
71,"artBOX, s.r.o.",Stravovanie/null
72,DEWITT s.r.o.,Stravovanie/null
73,BENAF s.r.o.,Auto-moto/null
74,"C&B BANG Tofu, s. r. o.",Stravovanie/null
75,Decathlon SK s. r. o.,Zábava a oddych/null
76,MALINA potraviny s. r. o.,Stravovanie/null
77,"MOTEL GASTRO, s.r.o.",Cestovanie/null
78,Správa telovýchovných a rekreačných zariadení hlavného mesta SR Bratislavy,Zábava a oddych/null
79,Xuan Duc Do -DHY,Stravovanie/null
80,"DANUBIANA - Centrum moderného umenia, n. o.",Zábava a oddych/null
81,"Husacina Galik, s.r.o.",
82,"Ritterstein, s. r. o.",
83,Barmis s. r. o.,Stravovanie/null
84,"JUVIK, s. r. o.",Stravovanie/null
85,"ELEZI, s.r.o.",Stravovanie/null
86,"GHT, s.r.o.",Zábava a oddych/null
87,"ARW, s.r.o.",Stravovanie/null
88,ARNB SK s.r.o.,Stravovanie/null
89,Arriba,
90,Šafko s .r.o.,Stravovanie/null
91,fiftyfifty s. r. o.,
92,"ORAVA - STAV, s.r.o.",Stravovanie/null
93,Tomáš Haba - Rozličný tovar,
94,Tomáš Haba - Rozličný tovar,
95,Tomáš Haba - Rozličný tovar,
96,Leberko s.r.o.,Stravovanie/Reštaurácie a kaviarne
97,CALZEDONIA SLOVAK s. r. o.,Oblečenie a obuv/null
98,Eventissimi s. r. o.,Stravovanie/Reštaurácie a kaviarne
99,Anton Orban,
100,"INFINITY team, s.r.o.",Bývanie a energie/null
101,"WAD, s.r.o.",Zábava a oddych/null
102,Alza,
103,Medicka,
104,"Slovenská plavba a prístavy - lodná osobná doprava, a.s.",
105,Bufet u Misky,
106,PAG investment s.r.o.,Oblečenie a obuv/null
107,"LPP Slovakia, s.r.o.",Oblečenie a obuv/null
108,"Ptáček - veľkoobchod, a. s.",Bývanie a energie/null
109,decoLED SK s.r.o.,Zábava a oddych/null
110,Loupol s. r. o.,Stravovanie/null
111,Lindex Slovakia s.r.o.,Oblečenie a obuv/null
112,"JUMP Park Senica, s. r. o.",Zábava a oddych/null
113,Eva Ladzianska - F.O.T.,Stravovanie/null
114,CORK GROUP s. r. o.,
115,FABKA s.r.o.,Bývanie a energie/null
116,Renata Hermysova,
117,MEDIAPRESS Bratislava spol. s r.o.,Zábava a oddych/null
118,"VM 8, s. r. o.",
119,JYSK s.r.o.,Bývanie a energie/null
120,PANO3D s. r. o.,Stravovanie/null
121,DANUBIUS spol. s r.o.,Stravovanie/Potraviny
122,"AGRAX, spol. s r.o.",Stravovanie/Potraviny
123,GINO FOOD & BEVERAGE CORPORATION s. r. o.,Stravovanie/null
124,TERNO real estate s.r.o.,Stravovanie/Potraviny
125,"CUREL,spol. s r.o.",Zábava a oddych/null
126,Eva Mészárosová Kvety vence,
127,"DOMPOT, s.r.o.",
128,AGROJÁN s.r.o.,
129,LAMA PLUS s.r.o.,Zdravie a osobná starostlivosť/Lieky a zdravotná starostlivosť
130,Mária Filipčíková,Ostatné výdavky/null
131,"Martin Švec, s. r. o.",
132,"Pide, s. r. o.",Stravovanie/Reštaurácie a kaviarne
133,KiK textil a Non-Food spol. s r. o.,
134,"Martinus, s.r.o.",Zábava a oddych/null
135,Svitlana Matúšová - FIALKA,
136,ORION TRADE s.r.o.,Stravovanie/null
137,Jozef Badánik - BADAS,
138,AH-Slovakia,
139,"IKEA Bratislava, s.r.o.",Bývanie a energie/null
140,Shoebox Slovakia s. r. o.,
141,"PhDr. Gabriela Augustínová, s.r.o.",Zdravie a osobná starostlivosť/null
142,CEWE a. s.,Ostatné výdavky/null
143,MAJA SK s. r. o.,Stravovanie/Potraviny
144,"COOP Jednota Galanta, spotrebné družstvo",
145,Harol s. r. o.,Stravovanie/null
146,Svet nápojov s.r.o.,Ostatné výdavky/Darčeky
147,Drab s.r.o.,Ostatné výdavky/null
148,Dr.Max 179 s.r.o.,Zdravie a osobná starostlivosť/null
149,Ludopolis s.r.o.,Ostatné výdavky/Darčeky
150,ECCO Retail (Slovakia) s. r. o.,Oblečenie a obuv/null
151,Tomáš Haba - Rozličný tovar,Stravovanie/null
152,"OIL Partner, s.r.o.",Auto-moto/Servis
153,"BAL TIP Slovakia, s.r.o.",Zábava a oddych/null
154,"ZABEZ, s.r.o.",Zdravie a osobná starostlivosť/null
155,FAUN spol. s r.o.,Stravovanie/null
156,Ferdinand Beňa,
157,METRO Cash & Carry SR s. r. o.,Auto-moto/Pohonné hmoty
158,Martin Hűbler - ŽELEZIARSTVO BIZAM,Bývanie a energie/null
159,Melange s. r. o.,
160,"PRIMA 2000, s.r.o.",Stravovanie/null
161,"OKAY Slovakia, spol. s r.o.","Elektronika, komunikácia a média/null"
162,Automatic,
163,Takko Fashion Slovakia s. r. o.,
164,KVK - Domáce potreby s.r.o.,Bývanie a energie/null
165,Max Food SK s.r.o.,Stravovanie/null
166,BAM - EKO a.s.,Stravovanie/null
167,"MAPET, spol. s r.o.",
168,"COOP Jednota Čadca, spotrebné družstvo",
169,Quintela Gastro s.r.o.,Stravovanie/null
170,NA ZDRAVIE s. r. o.,Zdravie a osobná starostlivosť/null
171,Douglas,
172,BRIGHT INVESTMENT GROUP s.r.o.,Zábava a oddych/null
173,"LA MODA, s.r.o.",Oblečenie a obuv/null
174,EKO-podnik verejnoprospešných služieb,
175,"Bioaspa, spol. s r.o.",Stravovanie/Potraviny
176,"Bombay Express Bratislava, s. r. o.",
177,Včelco s.r.o.,
178,YOYOSO SK s. r. o.,Zábava a oddych/Záľuby a šport
179,"Predajne Malina, s.r.o.",Stravovanie/Potraviny
180,Gamma Roots,
181,AGEL Clinic s. r. o.,Zdravie a osobná starostlivosť/Lekári a nemocnice
182,"PHARMA CBC II, s.r.o.",Zdravie a osobná starostlivosť/Lieky a zdravotná starostlivosť
183,TCHIBO SLOVENSKO spol. s r.o.,Oblečenie a obuv/Móda
184,OBI Slovakia s.r.o.,Bývanie a energie/Vybavenie a doplnky
185,Brandbq Slovensko s.r.o.,Oblečenie a obuv/Móda
186,PROVINO s.r.o.,Stravovanie/Reštaurácie a kaviarne
187,"VLR, s. r. o.",Stravovanie/Reštaurácie a kaviarne
188,"Fakultná nemocnica s poliklinikou F.D.Roosevelta Banská Bystrica, štátna príspevková organizácia",Cestovanie/Ubytovanie
189,TELEKOM,
190,OSBD,
191,ZSE,
192,Dražobná spol,
193,"Lekáreň pri Budúcnosti, s.r.o.",Zdravie a osobná starostlivosť/Lieky a zdravotná starostlivosť
194,Teta drogérie SR s. r.o.,Vreckové a výživné/Vreckové
195,H & M Hennes & Mauritz SK s.r.o.,Oblečenie a obuv/Móda
196,"FAST PLUS, a.s.","Elektronika, komunikácia a média/Elektronika"
197,Gastro Eurovea s. r. o.,Stravovanie/Reštaurácie a kaviarne
198,HRAVY s. r. o.,Zábava a oddych/Záľuby a šport
199,"Baťa Slovensko, a.s.",Oblečenie a obuv/Topánky
200,"Trnka Gastronomy, spol. s r. o.",Stravovanie/Potraviny
201,"FAnn-parfumérie, s.r.o.",Zdravie a osobná starostlivosť/Kozmetika a optika
202,ProZeta s.r.o.,Stravovanie/Reštaurácie a kaviarne
203,Solitario s.r.o.,Stravovanie/Potraviny
204,"Quang Minh Vu, podnik zahraničnej osoby",
205,EDO-KIN GROUP s. r. o.,Stravovanie/Reštaurácie a kaviarne
206,Notár,Nezatriedené výdavky/null
207,R&M Košice s.r.o.,Stravovanie/Reštaurácie a kaviarne
208,Vychodoslovenske muzeum v KE,
209,KAFEHAUS s.r.o.,Stravovanie/Reštaurácie a kaviarne
210,"Dr.Max 138 T, s.r.o.",Zdravie a osobná starostlivosť/Lieky a zdravotná starostlivosť
211,JZ Pharma s.r.o.,Zdravie a osobná starostlivosť/Lieky a zdravotná starostlivosť
212,Spp,
213,Ing. Juraj Nádaský,Zábava a oddych/Trafika
214,Správa cestovného ruchu Senec s. r. o.,Zábava a oddych/Ostatné - Oddych a záľuby
215,Potten & Pannen - Staněk s.r.o.,Bývanie a energie/Vybavenie a doplnky
216,"Jánošík - NEA, s.r.o.",Auto-moto/Pohonné hmoty
217,JVS GROUP s.r.o.,Oblečenie a obuv/Móda
218,"POST servis, s. r. o.",Stravovanie/Potraviny
219,"BAUHAUS odborné centrum pre dielňu, dom a záhradu k. s.",Bývanie a energie/Vybavenie a doplnky
220,"BAD, s.r.o.",Stravovanie/Ostatné - Strava a potraviny
221,TEDi Betriebs s. r. o.,Bývanie a energie/Vybavenie a doplnky
222,"Feel good, s.r.o.",Zdravie a osobná starostlivosť/Kozmetika a optika
223,Team Up s. r. o.,Zábava a oddych/Zábava
224,"MUNIŠI-Group, s.r.o.",Stravovanie/Reštaurácie a kaviarne
225,Galaxia VR s.r.o.,Zábava a oddych/Záľuby a šport
226,XLSK Nábytok s. r. o.,Bývanie a energie/Vybavenie a doplnky
227,"VILLAGE DEVELOPMENT, s.r.o.",Zábava a oddych/Ostatné - Oddych a záľuby
228,Brew Bar,
229,"EUROCOM Investment, s.r.o.",
230,TomiLand s. r. o.,Vzdelanie/Kurzy a doučovanie
231,Irin s. r. o.,Stravovanie/Reštaurácie a kaviarne
232,"ADJ, a. s.",Stravovanie/Reštaurácie a kaviarne
233,NAY a.s.,"Elektronika, komunikácia a média/Elektronika"
234,Tiger Stores Slovakia s. r. o.,Zábava a oddych/Hry a hračky
235,Ernest Ravasz,Stravovanie/Reštaurácie a kaviarne
236,"be PARTY, s. r. o.",Zábava a oddych/Zábava
237,RNDr.Alžbeta Gábrišová-Lekáreň Pokrok,Zdravie a osobná starostlivosť/Lieky a zdravotná starostlivosť
238,"LEON BA, s. r. o.",Stravovanie/Reštaurácie a kaviarne
239,"FIDENZA, spol. s r.o.",Stravovanie/Reštaurácie a kaviarne
240,"Mincovňa Kremnica, štátny podnik",Zábava a oddych/Zábava
241,DH Gastronomy s. r. o.,
242,Koshi Sushi s.r.o.,
243,Ko.Ma.Co-sk s.r.o,Stravovanie/Potraviny
244,"M.K.M. TRADING, spol. s r.o.",Cestovanie/Ubytovanie
