id,name,item_type,price,vat_rate,organization_id,org_unit_id,created_date,last_modified_date,created_by,last_modified_by,is_overridden,category_id
19, ZĽAVA AKCIA                            ,Z,-0.9,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:48,1,system,b'\x00',11
20,Billa tyč. sol.150  ,K,1.09,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',31
21,čer.syr Lučina 100  ,K,1.55,20.0,1,1,2023-09-28 22:57:45,2023-11-22 12:15:34,1,1,b'\x00',20
22,COTTA.CHEES.180g    ,K,1.19,20.0,1,1,2023-09-28 22:57:45,2023-11-25 21:25:46,1,1,b'\x01',20
23, ZĽAVA AKCIA                            ,Z,-0.3,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:48,1,system,b'\x00',11
24,d.act.or/ov.120g    ,K,0.69,10.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',35
25, ZĽAVA AKCIA                            ,Z,-0.19,10.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:48,1,system,b'\x00',11
26,d.act.mix 120g      ,K,0.69,10.0,1,1,2023-09-28 22:57:45,2023-11-25 21:35:50,1,1,b'\x01',9
27,t.exk.s losos.145g  ,K,1.39,20.0,1,1,2023-09-28 22:57:45,2023-11-25 17:56:31,1,1,b'\x01',38
28,Banány voľné        ,K,1.188747731397459,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',17
29,Termix kakao 130g   ,K,0.59,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',4
30, ZĽAVA AKCIA                            ,Z,-0.14,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:48,1,system,b'\x00',11
31,maslo LM 250g       ,K,3.59,10.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',12
32, Zľava                                  ,Z,-1.7,10.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:48,1,system,b'\x00',28
33,PERN.CUK.POL.165g   ,K,1.69,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',8
34,Jablko 200ml        ,K,0.99,10.0,1,1,2023-09-28 22:57:45,2023-09-28 22:58:32,1,1,b'\x00',17
35,ROŽOK 50g           ,K,0.11,10.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',41
36,Klob.úd.bukovom dr  ,K,11.507936507936508,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',42
37,K.Monorola 100m 1ks ,K,2.99,20.0,2,2,2023-09-28 22:58:10,2023-11-27 11:23:02,1,1,b'\x00',30
38,Zľava s kupónom     ,Z,-0.12,20.0,2,2,2023-09-28 22:58:10,2023-09-29 22:58:06,1,system,b'\x00',39
39,Frisk. Funtas 175g  ,K,2.19,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',44
40,Zľava s kupónom     ,Z,-0.09,20.0,2,2,2023-09-28 22:58:10,2023-09-29 22:58:06,1,system,b'\x00',39
41,K.utierky 100ks     ,K,0.79,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',2
42,Zľava s kupónom     ,Z,-0.06,20.0,2,2,2023-09-28 22:58:10,2023-09-29 22:58:06,1,system,b'\x00',39
43,Wellaflex 250ml     ,K,1.99,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',43
44,Zľava s kupónom     ,Z,-0.2,20.0,2,2,2023-09-28 22:58:10,2023-09-29 22:58:06,1,system,b'\x00',39
45,Bupi mydlo 100g     ,K,0.59,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',47
46,Zľava s kupónom     ,Z,-0.02,20.0,2,2,2023-09-28 22:58:10,2023-09-29 22:58:06,1,system,b'\x00',39
47,Kubík pyré 100g     ,K,0.39,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',48
48,Sunar suš.175g      ,K,1.79,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',50
49,Zľava s kupónom     ,Z,-0.07,20.0,2,2,2023-09-28 22:58:10,2023-09-29 22:58:06,1,system,b'\x00',39
50,"ZLT Mlieko 1,5% 1l  ",K,0.52,10.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',9
51,Bán.minikol.úd. 500g,K,3.29,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',51
52,Kaufland Card       ,Z,-0.1,20.0,2,2,2023-09-28 22:58:10,2023-09-29 22:58:06,1,system,b'\x00',39
53,Mana Nátierka 200g  ,K,1.29,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',14
54,Zľava s kupónom     ,Z,-0.05,20.0,2,2,2023-09-28 22:58:10,2023-09-29 22:58:06,1,system,b'\x00',39
55,Gazdov.vajcia M 10ks,K,1.09,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',24
56,Zľava s kupónom     ,Z,-0.04,20.0,2,2,2023-09-28 22:58:10,2023-09-29 22:58:06,1,system,b'\x00',39
57,ZLT Termix čok.90g  ,K,0.37,20.0,2,2,2023-09-28 22:58:10,2023-11-27 11:23:02,1,1,b'\x00',4
58,RajoKys.sm.14%250g  ,K,0.95,10.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',15
59,Zľava s kupónom     ,Z,-0.08,10.0,2,2,2023-09-28 22:58:10,2023-09-29 22:58:06,1,system,b'\x00',39
60,Tatr. maslo 250g    ,K,1.75,10.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',12
61,SýrAKřupFAM.4x35g   ,K,1.99,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',20
62,Zľava s kupónom     ,Z,-0.5,20.0,2,2,2023-09-28 22:58:10,2023-09-29 22:58:06,1,system,b'\x00',39
63,KPur.Kur.dol.stehná ,K,2.2854188210961737,10.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',16
64,Vieden.škvarky 200g ,K,1.99,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',32
65,Kaufland Card       ,Z,-0.4,20.0,2,2,2023-09-28 22:58:10,2023-09-29 22:58:06,1,system,b'\x00',39
66,K.Metla             ,K,7.49,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',20
67,Zľava s kupónom     ,Z,-0.31,20.0,2,2,2023-09-28 22:58:10,2023-09-29 22:58:06,1,system,b'\x00',39
68,"LuckaNeperlivá1,5l  ",K,0.69,20.0,2,2,2023-09-28 22:58:10,2023-11-27 11:23:02,1,1,b'\x00',3
69,"MagnesiaMin.Per.1,5l",K,0.79,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',3
70,Záloha PET#         ,K,0.15,0.0,2,2,2023-09-28 22:58:10,2023-11-27 11:23:02,1,1,b'\x00',1
71,Pepsi Lime 2 l PET  ,K,1.29,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',1
72,Pfanner pomaranč 1 l,K,1.19,10.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',48
73,Zemiaky žlté 2kg    ,K,1.89,10.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',5
74,"Cibuľa žltá 1,5kg   ",K,0.99,10.0,2,2,2023-09-28 22:58:10,2023-11-27 11:23:02,1,1,b'\x00',5
75,Jablko Gala         ,K,0.7880434782608695,10.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',17
76,Zľava s kupónom     ,Z,-0.03,10.0,2,2,2023-09-28 22:58:10,2023-09-29 22:58:06,1,system,b'\x00',39
77,Kytica tulipánov    ,K,2.29,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',49
78,Šalát Polníček 140g ,K,1.09,10.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',5
79,Vysočina saláma     ,K,6.890243902439024,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',42
80,Slovenská šunka     ,K,10.909090909090908,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',33
81,Zľava s kupónom     ,Z,-0.18,20.0,2,2,2023-09-28 22:58:10,2023-09-29 22:58:06,1,system,b'\x00',39
82,Nimm2 Soft  90g     ,K,0.75,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',32
83,M&M čokola.draže90g ,K,1.29,20.0,2,2,2023-09-28 22:58:10,2023-11-27 11:23:02,1,1,b'\x00',7
84,Zlaté venč. kak.150g,K,0.99,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',39
85,Manner Neapol. 75g  ,K,0.59,20.0,2,2,2023-09-28 22:58:10,2023-11-24 20:20:43,1,1,b'\x00',20
86,Kinder surp. die.20g,K,1.19,20.0,2,2,2023-09-28 22:58:11,2023-11-24 20:20:43,1,1,b'\x00',11
87,Kokos.kmeň100g      ,K,0.75,20.0,2,2,2023-09-28 22:58:11,2023-11-24 20:20:43,1,1,b'\x00',23
88,Princezky 80 g      ,K,0.44,20.0,2,2,2023-09-28 22:58:11,2023-11-25 18:08:04,1,1,b'\x01',32
89,Horalky 50g         ,K,0.49,20.0,2,2,2023-09-28 22:58:11,2023-11-24 20:20:43,1,1,b'\x00',32
90,"K.Rep.olej,1 l      ",K,1.89,20.0,2,2,2023-09-28 22:58:11,2023-11-24 20:20:43,1,1,b'\x00',10
91,tomata pretlak 190g ,K,0.62,20.0,2,2,2023-09-28 22:58:11,2023-11-24 20:20:43,1,1,b'\x00',51
92,Puding hor.čok.40g  ,K,0.59,20.0,2,2,2023-09-28 22:58:11,2023-11-24 20:20:43,1,1,b'\x00',32
93,Puding smot.van40g  ,K,0.59,20.0,2,2,2023-09-28 22:58:11,2023-11-24 20:20:43,1,1,b'\x00',4
94,Eva Sard.olej 115g  ,K,1.19,20.0,2,2,2023-09-28 22:58:11,2023-11-27 11:23:02,1,1,b'\x00',58
95,Zľava s kupónom     ,Z,-0.25,20.0,2,2,2023-09-28 22:58:11,2023-09-29 22:58:06,1,system,b'\x00',39
96,Erce niťovky lis200g,K,0.49,20.0,2,2,2023-09-28 22:58:11,2023-11-24 20:20:43,1,1,b'\x00',43
97,K. Hrach 500g       ,K,0.59,20.0,2,2,2023-09-28 22:58:11,2023-11-30 17:34:45,1,system,b'\x00',45
98,Šošovica 500g       ,K,1.59,20.0,2,2,2023-09-28 22:58:11,2023-11-24 20:20:43,1,1,b'\x00',61
99,ZLT Slov.šunka 100g ,K,0.85,20.0,2,2,2023-09-28 22:58:11,2023-11-24 20:20:43,1,1,b'\x00',33
100,"RioFreshJabl0,2l    ",K,1.19,10.0,2,2,2023-09-28 22:58:11,2023-11-24 20:20:43,1,1,b'\x00',48
101,K.Lístkové ces. 275g,K,0.79,20.0,2,2,2023-09-28 22:58:11,2023-11-24 20:20:43,1,1,b'\x00',30
102,Treska v maj.Ex140g ,K,1.09,20.0,2,2,2023-09-28 22:58:11,2023-11-27 11:23:02,1,1,b'\x00',29
103,"FUZ.BROS.1,5l       ",K,1.59,20.0,1,1,2023-09-28 22:58:23,2023-11-22 12:15:34,1,1,b'\x00',39
104,KAČICA PITVANÁ      ,K,3.1878371750858263,10.0,1,1,2023-09-28 22:58:23,2023-11-22 12:15:34,1,1,b'\x00',16
105, ZĽAVA PRE ČLENA                        ,Z,-0.5,20.0,1,1,2023-09-28 22:58:23,2023-09-29 22:58:06,1,system,b'\x00',7
106,Manner sna. m.300g  ,K,3.39,20.0,1,1,2023-09-28 22:58:23,2023-11-22 12:15:34,1,1,b'\x00',32
107, Zľava                  25%             ,Z,-0.85,20.0,1,1,2023-09-28 22:58:23,2023-09-29 22:58:06,1,system,b'\x00',28
108,TUNIAK.ŠALÁT MEX.   ,K,3.39,20.0,1,1,2023-09-28 22:58:23,2023-11-22 12:15:34,1,1,b'\x00',58
109, Zľava                                  ,Z,-1.4,20.0,1,1,2023-09-28 22:58:23,2023-09-29 22:58:06,1,system,b'\x00',28
110,Mas.Suš.Billa 250g  ,K,2.29,20.0,1,1,2023-09-28 22:58:23,2023-11-22 12:15:34,1,1,b'\x00',2
111, Zľava                  25%             ,Z,-0.57,20.0,1,1,2023-09-28 22:58:23,2023-09-29 22:58:06,1,system,b'\x00',28
112,Man.R.Srd.ob.300g   ,K,3.39,20.0,1,1,2023-09-28 22:58:23,2023-11-22 12:15:34,1,1,b'\x00',7
113, ZĽAVA AKCIA                            ,Z,-0.46,20.0,1,1,2023-09-28 22:58:23,2023-09-29 22:58:06,1,system,b'\x00',11
114,RUSTIK.CHLIEB 490g  ,K,1.69,20.0,1,1,2023-09-28 22:58:23,2023-11-22 12:15:34,1,1,b'\x00',41
115,BP CAMEMBERT.250g   ,K,2.19,20.0,1,1,2023-09-28 22:58:23,2023-11-22 12:15:34,1,1,b'\x00',20
116,Fuet 170g           ,K,1.99,20.0,1,1,2023-09-28 22:58:23,2023-11-22 12:15:34,1,1,b'\x00',8
117, ZĽAVA PRE ČLENA                        ,Z,-0.4,20.0,1,1,2023-09-28 22:58:23,2023-09-29 22:58:06,1,system,b'\x00',7
118,SVAČINKA AL 48G     ,K,0.49,20.0,1,1,2023-09-28 22:58:23,2023-11-22 12:15:34,1,1,b'\x00',14
119,jog.sp.ed.ch.150g   ,K,0.65,10.0,1,1,2023-09-28 22:58:23,2023-11-22 12:15:34,1,1,b'\x00',4
120,BASK RYŽA GUĽ.1kg   ,K,1.79,20.0,1,1,2023-09-28 22:58:23,2023-11-22 12:15:34,1,1,b'\x00',56
121, Zľava                                  ,Z,-0.5,20.0,1,1,2023-09-28 22:58:23,2023-09-29 22:58:06,1,system,b'\x00',28
122,ROŽOK 50g           ,K,0.1,10.0,1,1,2023-09-28 22:58:23,2023-11-22 12:15:34,1,1,b'\x00',41
123,ZÁK.PUD.A RÍB.85g   ,K,0.59,20.0,1,1,2023-09-28 22:58:23,2023-11-22 12:15:34,1,1,b'\x00',7
124,Smoothie 250ml      ,K,1.09,10.0,1,1,2023-09-28 22:58:23,2023-11-22 12:15:34,1,1,b'\x00',48
125,BROSKYNE 425ml      ,K,1.69,20.0,1,1,2023-09-28 22:58:23,2023-11-22 12:15:34,1,1,b'\x00',17
126,Raj.čer.250g        ,K,0.99,10.0,1,1,2023-09-28 22:58:23,2023-11-22 12:15:34,1,1,b'\x00',5
127,Pór voľný           ,K,2.5,10.0,1,1,2023-09-28 22:58:23,2023-11-22 12:15:34,1,1,b'\x00',5
128,ris.diav.350g       ,K,2.99,20.0,1,1,2023-09-28 22:58:32,2023-09-28 22:58:32,1,1,b'\x00',19
129,TP TENTO ECON.2-VR  ,K,0.79,20.0,1,1,2023-09-28 22:58:32,2023-09-28 22:58:32,1,1,b'\x00',2
130,DŽÚS HAP.DAY POM D  ,K,1.09,10.0,1,1,2023-09-28 22:58:32,2023-09-28 22:58:32,1,1,b'\x00',48
131,maslo Tami 250g     ,K,2.79,10.0,1,1,2023-09-28 22:58:32,2023-09-28 22:58:32,1,1,b'\x00',12
132, Zľava                                  ,Z,-1.0,10.0,1,1,2023-09-28 22:58:32,2023-09-29 22:58:06,1,system,b'\x00',28
133,Karička Eidam 100g  ,K,1.55,20.0,1,1,2023-09-28 22:58:32,2023-09-28 22:58:32,1,1,b'\x00',20
134, ZĽAVA AKCIA                            ,Z,-0.66,20.0,1,1,2023-09-28 22:58:32,2023-09-29 22:58:06,1,system,b'\x00',11
135,čer.syr Lučina 100  ,K,1.39,20.0,1,1,2023-09-28 22:58:32,2023-09-28 22:58:32,1,1,b'\x00',20
136,mini babybel 100g   ,K,2.05,20.0,1,1,2023-09-28 22:58:32,2023-09-28 22:58:32,1,1,b'\x00',20
137, ZĽAVA PRE ČLENA                        ,Z,-0.56,20.0,1,1,2023-09-28 22:58:32,2023-09-29 22:58:06,1,system,b'\x00',7
138,TYČ.SLANÉ DRU 170   ,K,1.45,20.0,1,1,2023-09-28 22:58:32,2023-09-28 22:58:32,1,1,b'\x00',31
139,Billa extra jemná   ,K,1.29,20.0,1,1,2023-09-28 22:58:32,2023-09-28 22:58:32,1,1,b'\x00',15
140,Grana Padano        ,K,16.875000000000004,20.0,1,1,2023-09-28 22:58:32,2023-09-28 22:58:32,1,1,b'\x00',20
141,Sl.dus.šunka 100g   ,K,1.35,20.0,1,1,2023-09-28 22:58:32,2023-09-28 22:58:32,1,1,b'\x00',33
142,Fuet 170g           ,K,1.29,20.0,1,1,2023-09-28 22:58:32,2023-09-28 22:58:32,1,1,b'\x00',8
143,CROIS.DUO ČOKO 82g  ,K,0.79,20.0,1,1,2023-09-28 22:58:32,2023-09-28 22:58:32,1,1,b'\x00',39
144,GAZDOV.CHLIEB 405g  ,K,1.25,20.0,1,1,2023-09-28 22:58:32,2023-09-28 22:58:32,1,1,b'\x00',41
145,COOKIES ČUČO.150g   ,K,1.79,20.0,1,1,2023-09-28 22:58:32,2023-09-28 22:58:32,1,1,b'\x00',32
146,Mandarínky          ,K,1.981132075471698,20.0,1,1,2023-09-28 22:58:32,2023-09-28 22:58:32,1,1,b'\x00',17
147,Uhorky šalátové     ,K,0.88,10.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',5
148,Zľava Lidl Plus     ,Z,-0.88,10.0,3,3,2023-09-29 10:08:43,2023-09-29 22:58:06,2,system,b'\x00',62
149,Galbani Mozzarella  ,K,0.99,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',20
150,ZLAVA               ,Z,-0.5,20.0,3,3,2023-09-29 10:08:43,2023-09-29 22:58:06,2,system,b'\x00',28
151,Cottage natur       ,K,1.19,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',20
152,Zľava Lidl Plus     ,Z,-0.48,20.0,3,3,2023-09-29 10:08:43,2023-09-29 22:58:06,2,system,b'\x00',62
153,Vres dvojfarebný    ,K,2.49,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',21
154,400238 De ponožky   ,K,1.99,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',32
155,379211 Jesen. deko  ,K,2.49,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',4
156,Colour Catcher      ,K,1.99,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',7
157,Vrec.na odp z. 60L  ,K,0.69,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',2
158,DRU tyčinky         ,K,1.49,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',31
159,419177 Dá tričko    ,K,6.99,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',42
160,Pap. utierky        ,K,3.99,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',47
161,Vatové tyčinky      ,K,1.09,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',27
162,Bebe cereálne       ,K,0.79,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',67
163,Parad.pretlak       ,K,0.99,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',51
164,Uhorky korenené     ,K,1.79,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',5
165,Hniezda             ,K,0.99,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',7
166,Jazmín. ryža 1kg    ,K,2.19,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',56
167,Torti 2-min.        ,K,0.89,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',43
168,Špagety 2min.       ,K,0.89,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',2
169,Mliečne briošky     ,K,2.99,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',39
170,Pizza krekry        ,K,1.29,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',34
171,Tuniak kúsky vl.šť  ,K,1.79,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',58
172,Paradajky celé      ,K,0.99,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',5
173,"Cif Lemon, 500ml    ",K,1.95,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',46
174,Kozmetické vreck.   ,K,1.15,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',2
175,Suš.paradajky       ,K,2.19,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',5
176,Biele faz. v nál.   ,K,0.79,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',69
177,Kidney fazule 420g  ,K,0.59,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',61
178,Univ.flauš.utierky  ,K,0.95,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',2
179,cestoviny Abeceda   ,K,0.69,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',43
180,Kečup jemný         ,K,1.49,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',13
181,Sanytol univerzál   ,K,3.33,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',2
182,Kuracie rezne       ,K,5.989010989010988,10.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',16
183,Kur. štvrte zadné   ,K,2.1944177093359,10.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',16
184,Kur. štvrte zadné   ,K,2.1863468634686347,10.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',16
185,Mini mrkva          ,K,0.99,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',5
186,"Kozm.vreck.,4vrst.  ",K,1.39,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',62
187,Múka polohrubá 1kg  ,K,0.59,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',56
188,Fazuľ. struky celé  ,K,1.59,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',69
189,Fazuľka rezaná      ,K,0.99,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',51
190,Šúľance makové      ,K,1.99,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',34
191,Hrášok extra jemný  ,K,1.19,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',66
192,MSC Surimi tyčinky  ,K,1.49,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',31
193,Kukurica sladká     ,K,0.99,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',51
194,Karfiol             ,K,1.39,10.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',5
195,Zrnková káva Crema  ,K,12.99,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',52
196,Mrkva sáčok 1kg     ,K,1.29,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',5
197,Kel                 ,K,1.7899761336515514,10.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',5
198,Ananás              ,K,3.19,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',17
199,Sušené paradajky    ,K,1.59,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',51
200,Banány              ,K,1.6885964912280702,20.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',17
201,Cuketa              ,K,0.795053003533569,10.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',5
202,Cibuľa 1kg          ,K,1.69,10.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',5
203,Tekvica Hokkaido    ,K,0.7912687585266029,10.0,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2,b'\x00',5
